manufacturer,cpuName,singleScore,multiScore,cores,threads,baseClock,turboClock,type
Intel,Core i7 12700K,1950,23168,12,20,3.6,5.0,Desktop
AMD,Ryzen 7 4700GE,1346,11748,8,16,3.6,4.4,Desktop
AMD,Ryzen 9 3900X,1312,18682,12,24,3.8,4.6,Desktop
AMD,Ryzen 7 5800X,1596,14812,8,16,3.8,4.7,Desktop
Intel,Core i5 11600K,1573,11392,6,12,3.9,4.9,Desktop
AMD,Ryzen 7 2700,1067,9005,8,16,3.2,4.1,Desktop
AMD,Ryzen 9 5950X,1684,28782,16,32,3.4,4.9,Desktop
Intel,Core i7 9700K,1293,9605,8,8,3.6,4.9,Desktop
Intel,Core i5 11600K,1573,11392,6,12,3.9,4.9,Desktop
AMD,Ryzen 7 5800,1580,14231,8,16,3.4,4.6,Desktop
Intel,Core i9 10900T,1283,12648,10,20,1.9,4.6,Desktop
Intel,Core i7 12700,1875,16225,12,20,3.6,4.9,Desktop
Intel,Core i5 9600KF,1277,7403,6,6,3.7,4.6,Desktop
AMD,Ryzen 7 1700,954,8138,8,16,3.0,3.7,Desktop
Intel,Core i9 7960X,1117,15301,16,32,2.8,4.2,Desktop
Intel,Core i5 10600,1298,9076,6,12,3.3,4.8,Desktop
AMD,Threadripper Pro 3975WX,1244,43450,32,64,3.5,4.2,Desktop
AMD,Ryzen 7 1700X,987,8872,8,16,3.4,3.8,Desktop
Intel,Core i9 11900,1473,13499,8,16,2.5,5.2,Desktop
AMD,Ryzen 5 3600,1245,9073,6,12,3.6,4.2,Desktop
Intel,Core i7 11700KF,1578,15223,8,16,3.6,5.0,Desktop
Intel,Core i9 10850K,1325,15762,10,20,3.6,5.2,Desktop
AMD,Ryzen 7 3800XT,1355,12955,8,16,3.9,4.7,Desktop
Intel,Core i5 9600KF,1277,7403,6,6,3.7,4.6,Desktop
Intel,Core i9 9900,1298,12341,8,16,3.1,5.0,Desktop
Intel,Core i5 12400,1725,12117,6,12,2.5,4.4,Desktop
AMD,Ryzen 7 2700X,1102,10140,8,16,3.7,4.3,Desktop
AMD,Ryzen 7 5700G,1535,14350,8,16,3.8,4.6,Desktop
Intel,Core i7 9700K,1293,9605,8,8,3.6,4.9,Desktop
AMD,Ryzen 5 2600X,1094,7523,6,12,3.6,4.2,Desktop
Intel,Core i7 12700,1875,16225,12,20,3.6,4.9,Desktop
Intel,Core i9 10900F,1367,10890,10,20,2.8,5.2,Desktop
Intel,Core i9 10900,1367,13439,10,20,2.8,5.2,Desktop
Intel,Core i7 7820X,1371,13641,8,16,3.6,4.3,Desktop
AMD,Ryzen 5 1600X,949,6541,6,12,3.6,4.0,Desktop
Intel,Core i9 10900T,1283,12648,10,20,1.9,4.6,Desktop
AMD,Ryzen 7 3800X,1346,13848,8,16,3.9,4.5,Desktop
Intel,Core i7 11700K,1582,15136,8,16,3.6,5.0,Desktop
AMD,Ryzen 3 Pro 4350G,1178,6093,4,8,3.8,4.0,Desktop
Intel,Core i7 12700K,1950,23168,12,20,3.6,5.0,Desktop
AMD,Ryzen 3 Pro 4350G,1178,6093,4,8,3.8,4.0,Desktop
Intel,Core i5 10600T,1134,7901,6,12,2.4,4.0,Desktop
Intel,Core i5 11600KF,1582,11482,6,12,3.9,4.9,Desktop
Intel,Core i7 8700K,1227,8990,6,12,3.7,4.7,Desktop
Intel,Core i7 9700F,1193,8631,8,8,3.0,4.7,Desktop
Intel,Core i5 10600KF,1407,10600,6,12,4.1,4.8,Desktop
AMD,Ryzen 5 3600X,1323,9526,6,12,3.8,4.2,Desktop
AMD,Ryzen 7 5800X,1596,14812,8,16,3.8,4.7,Desktop
Intel,Core i9 11900K,1671,16211,8,16,3.5,5.3,Desktop
Intel,Core i5 12600KF,1929,17979,10,16,3.7,4.9,Desktop
AMD,Ryzen 3 Pro 4350G,1178,6093,4,8,3.8,4.0,Desktop
AMD,Ryzen 5 5600G,1499,11358,6,12,3.9,4.4,Desktop
Intel,Core i3 10300,1248,6051,4,8,3.7,4.4,Desktop
AMD,Ryzen 7 5800X3D,1516,15049,8,16,3.4,4.5,Desktop
Intel,Core i9 10920X,1307,15709,12,24,3.5,4.6,Desktop
Intel,Core i7 10700K,1309,12873,8,16,3.8,5.1,Desktop
Intel,Core i5 9500,1142,6091,6,6,3.0,4.4,Desktop
Intel,Core i5 12400F,1736,12071,6,12,2.5,4.4,Desktop
Intel,Core i7 10700T,1285,10322,8,16,2.0,4.5,Desktop
AMD,Ryzen 9 5900,1608,21071,12,24,3.0,4.7,Desktop
AMD,Ryzen 7 Pro 4750G,1344,13109,8,16,3.6,4.4,Desktop
AMD,Ryzen 3 3300X,1307,6845,4,8,3.8,4.3,Desktop
AMD,Ryzen 7 3700X,1345,12195,8,16,3.6,4.4,Desktop
AMD,Ryzen 5 5500,1372,10710,6,12,3.6,4.2,Desktop
Intel,Core i7 10700KF,1309,12873,8,16,3.8,5.1,Desktop
AMD,Ryzen 5 2600,1016,7173,6,12,3.4,3.9,Desktop
AMD,Ryzen 5 4600G,1227,9401,6,12,3.7,4.2,Desktop
Intel,Core i5 11400F,1346,10235,6,12,2.6,4.4,Desktop
AMD,Ryzen 7 5800X,1596,14812,8,16,3.8,4.7,Desktop
Intel,Core i9 10900,1367,13439,10,20,2.8,5.2,Desktop
Intel,Core i7 12700KF,1958,22997,12,20,3.6,5.0,Desktop
Intel,Core i5 12500,1824,13145,6,12,3.0,4.6,Desktop
Intel,Core i7 6850K,1004,7422,6,12,3.6,3.8,Desktop
AMD,Ryzen 7 5800X,1596,14812,8,16,3.8,4.7,Desktop
Intel,Core i5 12400F,1736,12071,6,12,2.5,4.4,Desktop
Intel,Core i9 9900KS,1289,12879,8,16,4.0,5.0,Desktop
AMD,Ryzen 9 5900X,1670,22046,12,24,3.7,4.8,Desktop
AMD,Ryzen 3 3100,1105,5423,4,8,3.6,3.9,Desktop
Intel,Core i5 12600KF,1929,17979,10,16,3.7,4.9,Desktop
Intel,Core i7 11700K,1582,15136,8,16,3.6,5.0,Desktop
